Row,Reason
6794,duplicate Longitude/Lattitude in upload file
6795,duplicate Longitude/Lattitude in upload file
6796,duplicate Longitude/Lattitude in upload file
6797,duplicate Longitude/Lattitude in upload file
6798,duplicate Longitude/Lattitude in upload file
6799,duplicate Longitude/Lattitude in upload file
6800,duplicate Longitude/Lattitude in upload file
6801,duplicate Longitude/Lattitude in upload file
6802,duplicate Longitude/Lattitude in upload file
6803,duplicate Longitude/Lattitude in upload file
6804,duplicate Longitude/Lattitude in upload file
6805,duplicate Longitude/Lattitude in upload file
6820,duplicate Longitude/Lattitude in upload file
6821,duplicate Longitude/Lattitude in upload file
6822,duplicate Longitude/Lattitude in upload file
6823,duplicate Longitude/Lattitude in upload file
6824,duplicate Longitude/Lattitude in upload file
6825,duplicate Longitude/Lattitude in upload file
6826,duplicate Longitude/Lattitude in upload file
6827,duplicate Longitude/Lattitude in upload file
6828,duplicate Longitude/Lattitude in upload file
6829,duplicate Longitude/Lattitude in upload file
6830,duplicate Longitude/Lattitude in upload file
6831,duplicate Longitude/Lattitude in upload file
6832,duplicate Longitude/Lattitude in upload file
6833,duplicate Longitude/Lattitude in upload file
7718,duplicate Longitude/Lattitude in upload file
7719,duplicate Longitude/Lattitude in upload file
7720,duplicate Longitude/Lattitude in upload file
7721,duplicate Longitude/Lattitude in upload file
7722,duplicate Longitude/Lattitude in upload file
7723,duplicate Longitude/Lattitude in upload file
7724,duplicate Longitude/Lattitude in upload file
7725,duplicate Longitude/Lattitude in upload file
7726,duplicate Longitude/Lattitude in upload file
7727,duplicate Longitude/Lattitude in upload file
7728,duplicate Longitude/Lattitude in upload file
7729,duplicate Longitude/Lattitude in upload file
7730,duplicate Longitude/Lattitude in upload file
7731,duplicate Longitude/Lattitude in upload file
7732,duplicate Longitude/Lattitude in upload file
7733,duplicate Longitude/Lattitude in upload file
7734,duplicate Longitude/Lattitude in upload file
7735,duplicate Longitude/Lattitude in upload file
7736,duplicate Longitude/Lattitude in upload file
7827,duplicate Longitude/Lattitude in upload file
7828,duplicate Longitude/Lattitude in upload file
7829,duplicate Longitude/Lattitude in upload file
7830,duplicate Longitude/Lattitude in upload file
7831,duplicate Longitude/Lattitude in upload file
7832,duplicate Longitude/Lattitude in upload file
7833,duplicate Longitude/Lattitude in upload file
7990,duplicate Longitude/Lattitude in upload file
7991,duplicate Longitude/Lattitude in upload file
7992,duplicate Longitude/Lattitude in upload file
7993,duplicate Longitude/Lattitude in upload file
7994,duplicate Longitude/Lattitude in upload file
7996,duplicate Longitude/Lattitude in upload file
7997,duplicate Longitude/Lattitude in upload file
7998,duplicate Longitude/Lattitude in upload file
7999,duplicate Longitude/Lattitude in upload file
8000,duplicate Longitude/Lattitude in upload file
8001,duplicate Longitude/Lattitude in upload file
8002,Longitude/Lattitude already exists
8003,Longitude/Lattitude already exists
8004,Longitude/Lattitude already exists
8005,Longitude/Lattitude already exists
8006,Longitude/Lattitude already exists
8007,Longitude/Lattitude already exists
8008,Longitude/Lattitude already exists
8009,Longitude/Lattitude already exists
8010,Longitude/Lattitude already exists
8011,Longitude/Lattitude already exists
8012,Longitude/Lattitude already exists
8013,Longitude/Lattitude already exists
8014,Longitude/Lattitude already exists
8015,Longitude/Lattitude already exists
8016,Longitude/Lattitude already exists
8017,Longitude/Lattitude already exists
8018,Longitude/Lattitude already exists
8019,Longitude/Lattitude already exists
8020,Longitude/Lattitude already exists
8021,Longitude/Lattitude already exists
8022,Longitude/Lattitude already exists
8023,Longitude/Lattitude already exists
8024,Longitude/Lattitude already exists
8025,Longitude/Lattitude already exists
8026,Longitude/Lattitude already exists
8027,Longitude/Lattitude already exists
8028,Longitude/Lattitude already exists
8029,Longitude/Lattitude already exists
8030,Longitude/Lattitude already exists
8031,Longitude/Lattitude already exists
8032,Longitude/Lattitude already exists
8033,Longitude/Lattitude already exists
8034,Longitude/Lattitude already exists
8035,Longitude/Lattitude already exists
8036,Longitude/Lattitude already exists
8037,Longitude/Lattitude already exists
8038,Longitude/Lattitude already exists
8039,Longitude/Lattitude already exists
8040,Longitude/Lattitude already exists
8041,Longitude/Lattitude already exists
8042,Longitude/Lattitude already exists
8043,Longitude/Lattitude already exists
8044,Longitude/Lattitude already exists
8045,Longitude/Lattitude already exists
8046,Longitude/Lattitude already exists
8047,Longitude/Lattitude already exists
8048,Longitude/Lattitude already exists
8049,Longitude/Lattitude already exists
8050,Longitude/Lattitude already exists
8051,Longitude/Lattitude already exists
9115,Longitude/Lattitude already exists
9116,Longitude/Lattitude already exists
9117,Longitude/Lattitude already exists
9118,Longitude/Lattitude already exists
9119,Longitude/Lattitude already exists
9120,Longitude/Lattitude already exists
9121,Longitude/Lattitude already exists
9122,Longitude/Lattitude already exists
9123,Longitude/Lattitude already exists
9124,Longitude/Lattitude already exists
9125,Longitude/Lattitude already exists
9126,Longitude/Lattitude already exists
9127,Longitude/Lattitude already exists
9128,Longitude/Lattitude already exists
9129,Longitude/Lattitude already exists
9130,Longitude/Lattitude already exists
9131,Longitude/Lattitude already exists
9132,Longitude/Lattitude already exists
9133,Longitude/Lattitude already exists
9134,Longitude/Lattitude already exists
9135,Longitude/Lattitude already exists
9136,Longitude/Lattitude already exists
9137,Longitude/Lattitude already exists
9138,Longitude/Lattitude already exists
